"TradeNumber","common.Side","Quantity","Price","PnlForTrade","CumulativePnl"
"0","Sell","4.4501","4.5179","0.1049","1000.1049"
"1","Sell","4.4287","4.5106","-0.0239","1000.081"
"2","Sell","4.4409","4.4378","-0.2919","999.7891"
"3","Sell","4.5157","4.4211","-0.0357","999.7534"
"4","Sell","4.5263","4.4203","0.0077","999.7611"
"5","Sell","4.5025","4.4491","0.032","999.7931"
"6","Sell","4.5045","4.4395","-0.0023","999.7908"
"7","Sell","4.5039","4.4457","0.023","999.8138"
"8","Sell","4.519","4.3739","-0.2343","999.5795"
"9","Sell","4.609","4.3546","0.0704","999.6499"
"10","Sell","4.5462","4.3851","-0.0645","999.5854"
"11","Sell","4.5707","4.3922","0.0753","999.6607"
"12","Sell","4.5223","4.4165","-0.0271","999.6336"
"13","Sell","4.4848","4.4734","0.0622","999.6958"
"14","Sell","4.4759","4.457","-0.0509","999.6449"
"15","Sell","4.4935","4.4552","0.0193","999.6642"
"16","Sell","4.4988","4.4573","0.0525","999.7167"
"17","Sell","4.5076","4.41","-0.1216","999.5951"
"18","Sell","4.5367","4.4173","0.0399","999.635"
"19","Sell","4.5062","4.392","-0.2084","999.4266"
"20","Sell","4.5557","4.3869","-0.0146","999.412"
"21","Sell","4.5621","4.4059","0.1003","999.5123"
"22","Sell","4.5519","4.3858","-0.0364","999.4759"
"23","Sell","4.5326","4.4063","-0.0281","999.4478"
"24","Sell","4.5382","4.4079","0.0041","999.4519"
"25","Sell","4.5399","4.4081","0.0123","999.4642"
"26","Sell","4.5357","4.4043","-0.0236","999.4406"
"27","Sell","4.549","4.3759","-0.0941","999.3465"
"28","Sell","4.5744","4.37","-0.0101","999.3364"
"29","Sell","4.5523","4.3941","0.0032","999.3396"
"30","Sell","4.5427","4.4128","0.0459","999.3855"
"31","Sell","4.5222","4.4329","0.0466","999.4321"
"32","Sell","4.533","4.415","0.0131","999.4452"
"33","Sell","4.5383","4.4205","0.0616","999.5068"
"34","Sell","4.53","4.4187","0.0168","999.5236"
"35","Sell","4.5303","4.4092","-0.0249","999.4987"
"36","Sell","4.5358","4.4181","0.0395","999.5382"
"37","Sell","4.5475","4.3917","-0.0286","999.5096"
"38","Sell","4.5426","4.4052","0.0109","999.5205"
"39","Sell","4.5333","4.4132","0.0063","999.5268"
"40","Sell","4.5294","4.4311","0.0701","999.5969"
"41","Sell","4.513","4.4475","0.0717","999.6686"
"42","Sell","4.4922","4.47","0.0799","999.7485"
"43","Sell","4.4709","4.479","0.025","999.7735"
"44","Sell","4.4824","4.473","0.0498","999.8233"
"45","Sell","4.4656","4.4863","0.0339","999.8572"
"46","Sell","4.4099","4.5538","0.0815","999.9387"
"47","Sell","4.3934","4.5548","0.011","999.9497"
"48","Sell","4.3959","4.5296","-0.0883","999.8614"
"49","Sell","4.431","4.5202","0.0288","999.8902"
"50","Sell","4.4288","4.498","-0.0792","999.811"
"51","Sell","4.4447","4.5067","0.0311","999.8421"
"52","Sell","4.4312","4.5392","0.1142","999.9563"
"53","Sell","4.4175","4.5253","-0.0093","999.947"
"54","Sell","4.4283","4.5298","0.0592","1000.0062"
"55","Sell","4.4304","4.5068","-0.0332","999.973"
"56","Sell","4.434","4.51","-0.0027","999.9703"
"57","Sell","4.422","4.5223","-0.0022","999.9681"
"58","Sell","4.4096","4.5555","0.0877","1000.0558"
"59","Sell","4.3956","4.5558","0.0255","1000.0813"
"60","Sell","4.3877","4.5574","-0.0035","1000.0778"
"61","Sell","4.3749","4.5664","-0.0223","1000.0555"
